"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"192D2A1E 2022-01-15 08:00:00","192D2A1E","2022-01-15","08:00:00",3,410902.173911822,4262188.80653496,410356.296195005,411448.05162864,4261640.57612678,4262737.03694314
"192D2A1E 2022-01-15 08:03:00","192D2A1E","2022-01-15","08:03:00",3,410647.354759594,4261939.37465822,409895.708588474,411399.000930714,4261261.7671253,4262616.98219114
"192D2A1E 2022-01-15 08:06:00","192D2A1E","2022-01-15","08:06:00",3,410818.31078159,4261820.79299444,410343.152481709,411293.469081472,4261448.07998763,4262193.50600125
"192D2A1E 2022-01-15 08:09:00","192D2A1E","2022-01-15","08:09:00",5,411315.414948854,4261762.61461968,411223.438773687,411407.391124021,4261670.10220455,4261855.12703481
"192D2A1E 2022-01-15 08:12:00","192D2A1E","2022-01-15","08:12:00",3,411359.705734511,4261751.80048087,411262.879634232,411456.531834789,4261559.01929006,4261944.58167167
"192D2A1E 2022-01-15 08:15:00","192D2A1E","2022-01-15","08:15:00",3,411357.935172042,4261740.60737382,411004.943408619,411710.926935464,4260521.13723546,4262960.07751218
"192D2A1E 2022-01-15 08:18:00","192D2A1E","2022-01-15","08:18:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:21:00","192D2A1E","2022-01-15","08:21:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:24:00","192D2A1E","2022-01-15","08:24:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:27:00","192D2A1E","2022-01-15","08:27:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:30:00","192D2A1E","2022-01-15","08:30:00",3,411360.843723259,4261732.53757655,411034.760166799,411686.927279718,-17798950.1102805,26322415.1854335
"192D2A1E 2022-01-15 08:33:00","192D2A1E","2022-01-15","08:33:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:36:00","192D2A1E","2022-01-15","08:36:00",3,411361.790851847,4261732.64046781,411067.555837808,411656.025865885,4169782.87084184,4353682.41009378
"192D2A1E 2022-01-15 08:39:00","192D2A1E","2022-01-15","08:39:00",3,411362.24145802,4261732.58644394,411065.696743958,411658.786172083,4061123.27400739,4462341.8988805
"192D2A1E 2022-01-15 08:42:00","192D2A1E","2022-01-15","08:42:00",3,411359.196411785,4261740.64266455,411088.599511176,411629.793312395,4260744.90035715,4262736.38497196
"192D2A1E 2022-01-15 08:45:00","192D2A1E","2022-01-15","08:45:00",3,411356.108397222,4261745.64293927,411111.052502777,411601.164291666,4261207.57197017,4262283.71390836
"192D2A1E 2022-01-15 08:48:00","192D2A1E","2022-01-15","08:48:00",3,411356.119333447,4261746.34161042,411109.952579738,411602.286087156,4261222.45207747,4262270.23114337
"192D2A1E 2022-01-15 08:51:00","192D2A1E","2022-01-15","08:51:00",3,411356.108397222,4261745.64293927,411111.052502777,411601.164291666,4261207.57197017,4262283.71390836
"192D2A1E 2022-01-15 08:54:00","192D2A1E","2022-01-15","08:54:00",3,411354.851875479,4261747.02690171,411120.834530779,411588.869220178,4261287.56597601,4262206.4878274
"192D2A1E 2022-01-15 08:57:00","192D2A1E","2022-01-15","08:57:00",3,411356.108397222,4261745.64293927,411111.052502777,411601.164291666,4261207.57197017,4262283.71390836
"192D2A1E 2022-01-15 09:00:00","192D2A1E","2022-01-15","09:00:00",4,411331.762830123,4261677.76596047,411152.78473673,411510.740923516,4261477.80881947,4261877.72310147
"192D2A1E 2022-01-15 09:09:00","192D2A1E","2022-01-15","09:09:00",3,411120.899048676,4261886.21129869,408953.27405249,413288.524044862,4261045.0010759,4262727.42152148
"192D2A1E 2022-01-15 09:12:00","192D2A1E","2022-01-15","09:12:00",3,411281.022224997,4261951.41257643,405096.602585764,417465.44186423,4259814.65599597,4264088.1691569
"192D2A1E 2022-01-15 09:15:00","192D2A1E","2022-01-15","09:15:00",3,411193.008705279,4261867.3420957,410196.443321812,412189.574088746,4261639.79892723,4262094.88526417
"192D2A1E 2022-01-15 09:18:00","192D2A1E","2022-01-15","09:18:00",4,411050.296787667,4261752.30529662,410982.419195639,411118.174379695,4261653.71925178,4261850.89134146
"192D2A1E 2022-01-15 09:24:00","192D2A1E","2022-01-15","09:24:00",3,411035.103831354,4261743.61911986,410989.537753925,411080.669908782,4261674.01388163,4261813.22435809
"192D2A1E 2022-01-15 09:30:00","192D2A1E","2022-01-15","09:30:00",4,411244.387378269,4261761.01286608,411074.59302071,411414.181735829,4261605.66174952,4261916.36398263
